站点编号,时间,出力(MW)
f1,2023-5-1 0:00,6.3723850766717085
f1,2023-5-1 0:15,6.435011979269522
f1,2023-5-1 0:30,6.621527685464213
f1,2023-5-1 0:45,7.051942007079561
f1,2023-5-1 1:00,7.051942007079561
f1,2023-5-1 1:15,7.024802601931941
f1,2023-5-1 1:30,6.930207389668056
f1,2023-5-1 1:45,6.175935685296834
f1,2023-5-1 2:00,5.926304066069119
f1,2023-5-1 2:15,5.92244222441908
f1,2023-5-1 2:30,5.941960727297664
f1,2023-5-1 2:45,6.323800085292939
f1,2023-5-1 3:00,5.7091911011469465
f1,2023-5-1 3:15,5.7091911011469465
f1,2023-5-1 3:30,5.605893991293598
f1,2023-5-1 3:45,5.443594162822713
f1,2023-5-1 4:00,5.443594162822713
f1,2023-5-1 4:15,5.443594162822713
f1,2023-5-1 4:30,5.443594162822713
f1,2023-5-1 4:45,5.443594162822713
f1,2023-5-1 5:00,5.528942421596669
f1,2023-5-1 5:15,5.605893991293598
f1,2023-5-1 5:30,5.605893991293598
f1,2023-5-1 5:45,5.605893991293598
f1,2023-5-1 6:00,5.733796855791772
f1,2023-5-1 6:15,5.7035871016684565
f1,2023-5-1 6:30,5.7035871016684565
f1,2023-5-1 6:45,5.7035871016684565
f1,2023-5-1 7:00,5.7035871016684565
f1,2023-5-1 7:15,5.7035871016684565
f1,2023-5-1 7:30,5.7035871016684565
f1,2023-5-1 7:45,5.747176115933329
f1,2023-5-1 8:00,5.858812822455296
f1,2023-5-1 8:15,5.80812632331991
f1,2023-5-1 8:30,5.985859981020606
f1,2023-5-1 8:45,6.483065322209785
f1,2023-5-1 9:00,6.678480798933512
f1,2023-5-1 9:15,6.78405561066535
f1,2023-5-1 9:30,6.78405561066535
f1,2023-5-1 9:45,6.617899595978986
f1,2023-5-1 10:00,6.505906292026691
f1,2023-5-1 10:15,6.3530352056387756
f1,2023-5-1 10:30,6.362845411332824
f1,2023-5-1 10:45,6.376840227326018
f1,2023-5-1 11:00,5.654258883851398
f1,2023-5-1 11:15,5.870263824529897
f1,2023-5-1 11:30,5.882151514091355
f1,2023-5-1 11:45,5.990437195009226
f1,2023-5-1 12:00,6.44706860547972
f1,2023-5-1 12:15,7.055374191441888
f1,2023-5-1 12:30,7.348766333217916
f1,2023-5-1 12:45,7.548243592228173
f1,2023-5-1 13:00,7.555609958293173
f1,2023-5-1 13:15,7.381134780490783
f1,2023-5-1 13:30,7.262788856661884
f1,2023-5-1 13:45,7.971012235142267
f1,2023-5-1 14:00,8.289974601011462
f1,2023-5-1 14:15,9.219864007985048
f1,2023-5-1 14:30,9.824059206858738
f1,2023-5-1 14:45,10.338553010164855
f1,2023-5-1 15:00,10.647411081456163
f1,2023-5-1 15:15,10.647411081456163
f1,2023-5-1 15:30,10.14977216126719
f1,2023-5-1 15:45,10.107313142544811
f1,2023-5-1 16:00,9.581005608446382
f1,2023-5-1 16:15,9.074911686432383
f1,2023-5-1 16:30,9.007923373566467
f1,2023-5-1 16:45,8.676326840198168
f1,2023-5-1 17:00,8.555865280691581
f1,2023-5-1 17:15,8.940523891193381
f1,2023-5-1 17:30,8.98069549512922
f1,2023-5-1 17:45,9.346365378652148
f1,2023-5-1 18:00,9.443345087351158
f1,2023-5-1 18:15,9.616861041089894
f1,2023-5-1 18:30,9.934334885068829
f1,2023-5-1 18:45,9.947748640896975
f1,2023-5-1 19:00,10.078608627615331
f1,2023-5-1 19:15,10.133354247538549
f1,2023-5-1 19:30,10.64125761747893
f1,2023-5-1 19:45,10.74700125369776
f1,2023-5-1 20:00,10.890227337652227
f1,2023-5-1 20:15,11.580580327621682
f1,2023-5-1 20:30,11.580580327621682
f1,2023-5-1 20:45,11.761047842440156
f1,2023-5-1 21:00,11.741006272122842
f1,2023-5-1 21:15,11.79700243451017
f1,2023-5-1 21:30,12.293444998519828
